model,env,harness,metric,n_paired,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen2.5-0.5b,toolshed,abstract,solved,24,-0.08333333333333333,-0.20833333333333334,0.0,24,24,-0.2951630263451236,0.2374,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,stuck,24,-0.20833333333333334,-0.375,-0.041666666666666664,24,24,-0.5021881942620121,0.0078,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,exact_repeat_rate,16,-0.14479166666666668,-0.3197916666666667,0.018749999999999996,16,16,-0.4021118196909942,0.0846,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,canonical_repeat_rate,16,-0.14479166666666668,-0.3197916666666667,0.018749999999999996,16,16,-0.4021118196909942,0.0846,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,ok_call_rate,24,0.01944444444444445,-0.07223958333333333,0.11736111111111112,24,24,0.07929122134223401,0.6594,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,n_steps,24,-0.08333333333333333,-0.4166666666666667,0.25,24,24,-0.094638186229634,0.705,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,gen_tokens,24,-2.1666666666666665,-13.958333333333334,9.416666666666666,24,24,-0.07153550597368748,0.698,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,prompt_tokens,24,-162.33333333333334,-425.9166666666667,98.5041666666666,24,24,-0.2427957236201813,0.2176,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,prompt_tokens_per_step,24,-17.376388888888883,-26.902986111111115,-8.173437499999997,24,24,-0.72658526397123,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,truncated_rate,24,0.049999999999999996,0.006944444444444444,0.10416666666666667,24,24,0.3936243383741394,0.026,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,prose_rate,24,-0.10416666666666667,-0.1875,-0.03819444444444445,24,24,-0.5372658731707194,0.002,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,seconds,24,-15.88263002038002,-25.803781444331012,-7.0364979736506985,24,24,-0.6616732406673943,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,solved,24,-0.08333333333333333,-0.20833333333333334,0.0,24,24,-0.2951630263451236,0.2374,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,stuck,24,-0.25,-0.4166666666666667,-0.08333333333333333,24,24,-0.565194165260439,0.001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,exact_repeat_rate,16,-0.24062500000000003,-0.41666666666666663,-0.065625,16,16,-0.6520451358476503,0.0056,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,canonical_repeat_rate,16,-0.24062500000000003,-0.41666666666666663,-0.065625,16,16,-0.6520451358476503,0.0056,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,ok_call_rate,24,0.01944444444444445,-0.07223958333333333,0.11736111111111112,24,24,0.07929122134223401,0.6594,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,n_steps,24,-0.08333333333333333,-0.4166666666666667,0.25,24,24,-0.094638186229634,0.705,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,gen_tokens,24,-0.5,-12.791666666666666,11.291666666666666,24,24,-0.01612866740974104,0.9182,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,prompt_tokens,24,-162.33333333333334,-425.9166666666667,98.5041666666666,24,24,-0.2427957236201813,0.2176,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,prompt_tokens_per_step,24,-17.376388888888883,-26.902986111111115,-8.173437499999997,24,24,-0.72658526397123,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,truncated_rate,24,0.06388888888888888,0.018055555555555557,0.12222222222222223,24,24,0.45969630102497616,0.0068,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,prose_rate,24,-0.10416666666666667,-0.1875,-0.03819444444444445,24,24,-0.5372658731707194,0.002,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
