model,env,harness,metric,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen2.5-0.5b,toolshed,abstract,solved,0.3333333333333333,0.16666666666666666,0.5416666666666666,24,24,0.6922186552431728,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,stuck,0.08333333333333333,0.0,0.20833333333333334,24,24,0.2951630263451236,0.251,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,exact_repeat_rate,0.1625,0.041666666666666664,0.3125,16,16,0.5767312756481192,0.0036,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,canonical_repeat_rate,0.1625,0.041666666666666664,0.3125,16,16,0.5767312756481192,0.0036,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,ok_call_rate,0.6305555555555555,0.5034548611111112,0.7548611111111111,24,24,1.9623316099134576,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,n_steps,4.083333333333333,3.1666666666666665,4.958333333333333,24,24,1.7741718683694239,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,gen_tokens,64.45833333333333,44.583333333333336,85.20833333333333,24,24,1.238369708300552,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,prompt_tokens,2602.0,1996.9510416666667,3177.7520833333333,24,24,1.7124209353181916,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,prompt_tokens_per_step,616.0819444444445,599.3373611111111,631.9125694444444,24,24,14.700089213419057,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,truncated_rate,0.06388888888888888,0.006944444444444444,0.13888888888888887,24,24,0.37222447704310346,0.026,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,prose_rate,0.11805555555555554,0.03819444444444444,0.21875,24,24,0.4983905336839473,0.0002,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract,seconds,30.370688637097675,20.732355548441408,40.603935012469684,24,24,1.1840136246116886,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,abstract+ban,solved,0.3333333333333333,0.16666666666666666,0.5416666666666666,24,24,0.6922186552431728,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
