model,env,n_prefix_steps,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
llama3.2-1b,toolshed,0.0,G,-15.109371246939356,-18.70618370531334,-11.526230814200687,11,9,-2.0178140824352555,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,0.0,copy,13.162659586830573,9.618005759827792,16.710204518755727,11,9,1.656411563711716,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,0.0,sem,1.946711660108783,1.0629292473789642,2.924063936918973,11,9,1.042675155567357,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,1.0,G,-10.617294838134613,-16.92058091732446,-6.119621330022534,18,13,-1.0229311565747312,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,1.0,copy,9.096973492051749,5.037652792633356,14.243691157234043,17,12,1.05151364813662,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,1.0,sem,1.9424515059765648,0.06112401030957699,4.295279731107054,17,12,0.4287957059038085,0.041,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,2.0,G,-12.850788394610086,-14.39684271812439,-11.699348002672195,6,5,-7.518404273188814,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,2.0,copy,3.449607173601786,0.10595206419626872,6.148122310638428,6,5,0.901818148157464,0.013,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,2.0,sem,9.4011812210083,6.765732129414876,13.363371086120605,6,5,2.1409957906917794,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
qwen2.5-0.5b,coderepair,0.0,G,-67.68287275681892,-76.88542688405762,-59.12866753308103,60,60,-1.939251404761342,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,0.0,copy,69.49829634403189,60.9182383899608,78.65255607118208,60,60,1.9923297818239463,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,0.0,sem,-1.8154235872129598,-2.4930095575439433,-1.2025223376726113,60,60,-0.7042765661254032,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
