model,env,error_type,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
llama3.2-1b,toolshed,format_error,G,-14.709079907408782,-18.228415592440538,-11.586298356737412,7,7,-3.023236428749866,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,format_error,copy,11.198036278997149,6.992321618965694,15.759008467197418,7,7,1.7567548361621026,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,format_error,sem,3.5110436284116338,1.0150928397263799,6.068032758576529,7,7,0.9067145303078322,0.006,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,missing_argument,G,-8.96166443824768,-14.981578826904297,-1.0539219379425049,3,3,-1.252824355509299,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,missing_argument,copy,5.343173613150914,0.37849053740501404,11.73478102684021,3,3,0.9194834714088966,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,missing_argument,sem,3.618490825096766,0.6754314005374908,6.933243274688721,3,3,1.1503997650960995,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,type_error,G,-3.209142416715622,-4.026507019996643,-2.2675478160381317,4,4,-3.2058921846313964,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,type_error,copy,0.04935403416554133,-1.7296209707856178,1.6497960537672043,3,3,0.029087090895424283,0.717,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,type_error,sem,3.082475148141384,2.643659070134163,3.6059906855225563,3,3,6.33309651101678,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,unexpected_argument,G,-8.583455499494448,-11.727519809361548,-5.789260711759562,8,8,-1.8836062722392397,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,unexpected_argument,copy,5.9361231059301645,3.4833662159799132,8.794717756775205,8,8,1.3982683640748776,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,unexpected_argument,sem,2.647332393564284,-0.2637040147325024,5.927631198428571,8,8,0.5416448588691608,0.082,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,unknown_tool,G,-11.038996919989586,-15.388024239490429,-7.499200890461604,6,6,-2.014196077051545,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,unknown_tool,copy,5.783297436932723,1.418683943649133,9.891763141502912,6,6,1.0226011518642821,0.005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,unknown_tool,sem,5.255699483056863,1.671378057450056,10.371151190251112,6,6,0.8271243056915505,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
qwen2.5-0.5b,coderepair,runtime_error,G,-63.609378350277744,-76.5776456413418,-51.10720637323956,15,15,-2.39612359298717,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,runtime_error,copy,66.46250668813785,53.441003241688016,80.1764734285449,15,15,2.3737525136951896,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,runtime_error,sem,-2.8531283378601073,-4.512609381775061,-1.2951032499472321,15,15,-0.867853080498953,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,syntax_error,G,-82.96060083806515,-96.22755533456802,-67.88806174695492,4,4,-5.298080263326971,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,syntax_error,copy,87.78540752828121,74.13665148615837,101.43416357040405,4,4,5.4727783423707805,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,syntax_error,sem,-4.8248066902160645,-7.651125192642212,-1.998488187789917,4,4,-1.4078743436586965,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,test_failure,G,-66.57835616419713,-78.97186477358143,-55.15319911948381,39,39,-1.6887315805049987,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,test_failure,copy,67.69287007378462,56.51503801817695,79.77592452686662,39,39,1.7404122227383914,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,test_failure,sem,-1.1145139095874934,-1.7136764999574576,-0.5183912378377641,39,39,-0.5940226353404561,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,contact_not_found,G,-27.75356384118398,-30.892661809921265,-26.119360089302063,3,3,-10.206115238263735,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,contact_not_found,copy,26.926077206929524,26.670966148376465,27.239779949188232,3,3,93.20272934932899,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,contact_not_found,sem,0.8274866342544556,-0.748125433921814,3.6528818607330322,3,3,0.3374354127929465,0.495,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,event_not_found,G,-11.729707494998971,-12.37435794249177,-11.239852575585246,3,3,-20.123775501418837,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,event_not_found,copy,7.523216342553496,7.070032253861427,8.122592214494944,3,3,13.89856630191034,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,event_not_found,sem,4.206491152445476,3.862828016281128,4.504879713058472,3,3,13.006625958997345,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,format_error,G,-15.058250557292592,-17.837305433336983,-12.425601478903133,22,22,-2.2288665024875716,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,format_error,copy,9.49814294685017,6.106828277321025,13.101371511850843,22,22,1.102205505300741,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,format_error,sem,5.560107610442421,4.023218281634829,7.129919299144636,22,22,1.4361295488240813,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,missing_argument,G,-10.366885135380121,-12.024839845314048,-8.283947027291958,13,12,-2.9066210841127247,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,missing_argument,copy,7.61951489173449,4.681330395117402,9.994905448208252,13,12,1.4035055500024292,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,missing_argument,sem,2.7473702436456313,1.6825982426603636,3.8768183641583436,13,12,1.0342967669720236,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,permission_error,G,-37.91243666868944,-42.362770998707184,-33.881283288964866,13,13,-4.648218590229182,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,permission_error,copy,32.20198384156594,27.99450890393211,36.82717292859004,13,13,3.7780689738619864,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,permission_error,sem,5.710452827123495,5.247132671509799,6.129841221410494,13,13,6.749371859162489,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,type_error,G,-0.7109688566281245,-3.190343693643808,1.801240301103545,13,13,-0.14606931944171114,0.603,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,type_error,copy,-3.589191890679873,-5.913766005491981,-1.235329225859963,13,13,-0.7946815632109445,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,type_error,sem,4.300160747307998,-0.4200789199425624,8.928970125088322,13,13,0.4677423824597115,0.07,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,unexpected_argument,G,-5.877520288842229,-10.221778710172153,-1.121527850552678,13,13,-0.6788125783372593,0.003,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,unexpected_argument,copy,4.670036202869737,0.7099924083226002,8.65392866892596,13,13,0.645842137722774,0.011,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,unexpected_argument,sem,1.2074840859724925,-1.2252512148653085,3.758360639099886,13,13,0.2539587542472082,0.344,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,unknown_tool,G,-9.75645599113061,-12.315868046979109,-7.364042823790359,13,10,-2.1976523070479606,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,unknown_tool,copy,4.1055072374068775,-0.7488515510835818,8.886377705519015,13,10,0.4826516881207767,0.102,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,unknown_tool,sem,5.650948753723731,2.962051339969039,8.529317639966806,13,10,1.120893492795698,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen3-0.6b,toolshed,format_error,G,-23.87585730905994,-27.523041849487345,-19.875688077118685,16,16,-3.0420106165914085,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,format_error,copy,19.231412348890444,14.468684910084267,23.513678888697175,16,16,2.0763339611923537,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,format_error,sem,4.644444960169494,2.229373099654913,6.907011826778762,16,16,0.957836974932044,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,missing_argument,G,-22.653396050807917,-24.700372016761037,-19.293332363530578,9,9,-4.565836474866028,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,missing_argument,copy,19.048280712268834,14.618726300520617,22.762965384787982,9,9,2.7911895753552898,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,missing_argument,sem,3.605115338539084,1.7307811439865166,5.38437983785342,9,9,1.2046018921867716,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,permission_error,G,-51.925957188010216,-52.85999748855829,-51.09443036448211,8,8,-36.523721310746325,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,permission_error,copy,48.371565219547065,46.802350401213126,49.97410659385579,7,7,21.164117932881556,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,permission_error,sem,3.4369293994137218,2.628121415419238,4.239243542988386,7,7,2.8928879926364828,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,type_error,G,-6.319119776017033,-11.77037734489495,-1.330893224711329,8,8,-0.8050627270072039,0.006,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,type_error,copy,1.4714767924742773,-4.432358040298277,7.61000361799961,8,8,0.16542659628493359,0.693,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,type_error,sem,4.847642983542755,4.019938854849897,5.628829653142019,8,8,3.799173531529032,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,unexpected_argument,G,-9.068893082757397,-13.418827336396895,-5.491627818026415,11,11,-1.2849593039398823,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,unexpected_argument,copy,10.641946965003047,6.012739694083046,15.579507345099803,11,11,1.2724063097518106,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,unexpected_argument,sem,-1.5730538822456517,-6.47691261107102,3.0505116325803097,11,11,-0.1899760746684057,0.459,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,unknown_tool,G,-16.05968852096703,-19.853964478750797,-13.157097022049129,8,7,-2.6412381296677867,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,unknown_tool,copy,12.059050604817457,8.772027993062512,16.470759873677576,8,7,1.736003043576749,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,unknown_tool,sem,4.0006379161495715,2.6708233235403895,5.693926188512705,8,7,1.7178793807480934,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
smollm2-1.7b,toolshed,format_error,G,-15.28182194630305,-17.688654124736786,-12.73979377746582,3,3,-6.168993329187952,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,format_error,copy,12.650874574979147,9.008622646331787,16.93300688266754,3,3,3.162120708084661,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,format_error,sem,2.6309473713239035,0.7556472420692444,3.731171131134033,3,3,1.6119278906536179,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,unexpected_argument,G,-10.033971707026163,-12.642581284046173,-8.717522382736206,3,3,-4.441471511401986,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,unexpected_argument,copy,8.57589136560758,7.89805269241333,9.597866207361221,3,3,9.52193028856405,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,unexpected_argument,sem,1.4580803414185841,0.5100562572479248,3.044715076684952,3,3,1.0544803116551755,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,unknown_tool,G,-12.394858322106302,-14.690042342990637,-9.8336240677163,4,4,-4.170450397619123,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,unknown_tool,copy,11.469792201649398,9.791956455912441,12.828804044052958,4,4,6.101356772719571,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,unknown_tool,sem,0.9250661204569042,-0.11937104305252433,2.5373483896255493,4,4,0.5640182750611048,0.11,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-135m,coderepair,runtime_error,G,-76.87554373964667,-93.95099587989971,-60.52580523388462,16,16,-2.1352407857743345,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,runtime_error,copy,80.22490248456597,63.71806962015107,97.61639090580864,16,16,2.1912596123767933,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,runtime_error,sem,-3.3493587449193,-4.1671885221265255,-2.4589815098792314,16,16,-1.886151065538274,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,syntax_error,G,-94.64962473511696,-114.38046503067017,-74.01130244135857,4,4,-4.190722480406569,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,syntax_error,copy,98.66218869388103,76.51526714861393,120.00417393445969,4,4,4.094797871125494,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,syntax_error,sem,-4.012563958764076,-5.342292279005051,-2.7850381433963776,4,4,-2.482667701499266,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,test_failure,G,-80.25632314957105,-95.5296126937637,-67.1588281410245,39,39,-1.6828772531369711,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
