model,env,operator,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
llama3.2-1b,toolshed,arg_typo,G,-8.583455499494448,-11.727519809361548,-5.789260711759562,8,8,-1.8836062722392397,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,arg_typo,copy,5.9361231059301645,3.4833662159799132,8.794717756775205,8,8,1.3982683640748776,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,arg_typo,sem,2.647332393564284,-0.2637040147325024,5.927631198428571,8,8,0.5416448588691608,0.082,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,date_format,G,-16.343511512503028,-20.809103291481733,-10.976986646652222,4,4,-2.6844834995267877,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,date_format,copy,15.528699785470963,11.267800644040108,18.391733095049858,4,4,3.681977065229673,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,date_format,sem,0.8148117270320654,-1.2314878702163696,2.8611113242805004,4,4,0.34355308434690063,0.602,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,drop_arg,G,-8.96166443824768,-14.981578826904297,-1.0539219379425049,3,3,-1.252824355509299,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,drop_arg,copy,5.343173613150914,0.37849053740501404,11.73478102684021,3,3,0.9194834714088966,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,drop_arg,sem,3.618490825096766,0.6754314005374908,6.933243274688721,3,3,1.1503997650960995,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,hallucinated_entity,G,-18.604638213912647,-22.330979163448017,-14.69334945778053,6,6,-3.3146058623885626,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,hallucinated_entity,copy,18.698209668199222,14.367849205931028,22.967883591850597,6,6,3.2427452518922615,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,hallucinated_entity,sem,-0.09357145428657532,-2.126499662796656,2.2497152288754783,6,6,-0.03148567273208571,0.912,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,name_for_email,G,-12.529837767283121,-14.490280628204346,-11.289594173431396,3,3,-7.295013029502156,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,name_for_email,copy,5.423818270365397,2.8346710205078125,8.350514888763428,3,3,1.9556769671933325,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,name_for_email,sem,7.106019496917725,6.139765739440918,8.97496747970581,3,3,4.389497951577473,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,tool_typo,G,-11.038996919989586,-15.388024239490429,-7.499200890461604,6,6,-2.014196077051545,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,tool_typo,copy,5.783297436932723,1.418683943649133,9.891763141502912,6,6,1.0226011518642821,0.005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
