model,env,template,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
llama3.2-1b,toolshed,archive,G,-14.473550018668174,-16.954561233520508,-12.059607867151499,5,4,-4.402805584394157,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,archive,copy,12.900427022576332,9.424338944256306,15.217819074789682,5,4,3.802200486521164,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,archive,sem,1.5731229960918427,-1.19740691781044,3.3038266450166702,5,4,0.4373777620390245,0.073,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,cancel_event,G,-11.471894117072225,-22.01291438192129,-4.552323658950627,5,3,-1.320644228769555,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,cancel_event,copy,9.53216936327517,3.6847196156159043,18.902446269989014,5,3,1.216902441242787,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,cancel_event,sem,1.9397247537970543,0.8676040433347225,3.1104681119322777,5,3,1.862996396406154,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,convert,G,-14.88861428697904,-18.962125703692436,-6.741591453552246,3,2,-1.7867129376799182,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,convert,copy,9.957927366097769,5.461384624242783,12.206198737025261,3,2,1.2650662176103893,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,convert,sem,4.930686920881271,1.2802068293094635,6.755926966667175,3,2,1.2409075082107304,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,email_file,G,-13.230400991439819,-15.173660018227316,-11.20210816860199,10,5,-2.7128354965864836,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,email_file,copy,8.122310078144073,5.883899350961049,9.351254642009735,10,5,0.9426198927620787,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,email_file,sem,5.1080909132957455,3.3831769704818724,7.378084574426923,10,5,0.7696011396798982,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,schedule,G,-6.753592485189438,-9.259795654903758,-3.6904552777608237,10,5,-1.019448105101361,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,schedule,copy,5.9941353930367365,2.658890587362376,8.765670950214068,9,4,0.7400496337226812,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
llama3.2-1b,toolshed,schedule,sem,1.127513799402449,-0.18777161339918771,1.7851565058032672,9,4,0.600101025298475,0.0005,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796
qwen2.5-0.5b,coderepair,mbpp,G,-67.68287275681892,-76.88542688405762,-59.12866753308103,60,60,-1.939251404761342,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,mbpp,copy,69.49829634403189,60.9182383899608,78.65255607118208,60,60,1.9923297818239463,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,coderepair,mbpp,sem,-1.8154235872129598,-2.4930095575439433,-1.2025223376726113,60,60,-0.7042765661254032,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,archive,G,-11.566585428153093,-15.440401692077662,-8.282169348427228,13,6,-1.6875682870131523,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,archive,copy,1.8807938669163446,-2.7018495825203983,7.179597670212388,13,6,0.23019760674760686,0.451,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,archive,sem,9.685791561236748,8.138619535973856,11.54420439004898,13,6,3.1224046332589266,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,cancel_event,G,-11.494205036415504,-19.053023983513317,-5.043350444113215,13,7,-0.8643196389584147,0.002,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,cancel_event,copy,10.209122131077143,5.091261000082725,17.02370682475157,13,7,0.9086240544574063,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,cancel_event,sem,1.2850829053383608,-0.07797510761560664,2.3668698325753192,13,7,0.4149188681740677,0.021,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,convert,G,-18.046881161630154,-23.4396330261603,-14.559152515569272,20,10,-1.4913944491341053,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,convert,copy,10.018709702789783,5.9055361474967665,16.35429384721708,20,10,0.650734028310235,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,convert,sem,8.02817145884037,6.467700127192906,9.469409380212538,20,10,1.5451139209244495,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,email_file,G,-13.552876892543974,-15.321768375422273,-11.417667343160685,21,10,-2.1977753196242213,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,email_file,copy,9.769614885250727,6.417879906146075,12.467369929471364,21,10,1.2686043367620345,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,email_file,sem,3.783262007293247,2.599764120101929,5.288959290534258,21,10,1.2279769398683047,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,roster,G,-23.93018041493801,-30.23897203637494,-20.410052222760964,13,6,-1.2031488236387193,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,roster,copy,21.63067543048125,18.362696837295186,26.74649323357476,13,6,1.2564023353721745,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,roster,sem,2.2995049844567594,1.473532825176205,3.5517660327255727,13,6,0.7669410976999749,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,schedule,G,-6.730038577318192,-9.716116002729962,-3.375386866554618,20,9,-0.752777703646452,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,schedule,copy,7.346884685754776,4.342717421368548,10.180076666383517,20,9,0.9490142243348528,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,schedule,sem,-0.6168461084365845,-1.5080031236012776,0.17907573897302428,20,9,-0.2327066100256211,0.137,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen3-0.6b,toolshed,archive,G,-18.269012046667438,-23.37823635738875,-13.917301236186177,9,5,-2.2124798328463946,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,archive,copy,22.01136940681479,19.049604746047407,26.086902578671772,9,5,2.7256834304827136,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,archive,sem,-3.742357360147354,-5.609214168787003,-1.3211690740556352,9,5,-0.5260771625007385,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,cancel_event,G,-17.19177143682133,-22.73823438750373,-11.840850569307804,11,6,-1.6528752727175502,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,cancel_event,copy,14.615533754398877,10.388270791620016,19.88247690747608,11,6,1.544693181948732,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,cancel_event,sem,2.5762376824224535,0.9215432976682981,3.5084198113869536,11,6,0.9029932715815471,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,convert,G,-29.063158025248693,-39.26325140557252,-20.682450412859527,13,6,-1.4685292630846332,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
