model,env,item_id,lp__abstract__failed,lp__abstract__gold,lp__abstract_min__failed,lp__abstract_min__gold,lp__fail__distractor0,lp__fail__distractor1,lp__fail__failed,lp__fail__gold,lp__fail_early__failed,lp__fail_early__gold,lp__fail_echo__failed,lp__fail_echo__gold,lp__fail_instr__failed,lp__fail_instr__gold,lp__fail_k2__failed,lp__fail_k2__gold,lp__fail_k3__failed,lp__fail_k3__gold,lp__fail_other__failed,lp__fail_other__gold,lp__fail_terse__failed,lp__fail_terse__gold,lp__fail_verbose__failed,lp__fail_verbose__gold,lp__neut__failed,lp__neut__gold,lp__neut_pad__failed,lp__neut_pad__gold,lp__pre__distractor0,lp__pre__distractor1,lp__pre__failed,lp__pre__gold,lp__succ__failed,lp__succ__gold,greedy__abstract__failed,greedy__abstract__gold,greedy__abstract_min__failed,greedy__abstract_min__gold,greedy__fail__distractor0,greedy__fail__distractor1,greedy__fail__failed,greedy__fail__gold,greedy__fail_early__failed,greedy__fail_early__gold,greedy__fail_echo__failed,greedy__fail_echo__gold,greedy__fail_instr__failed,greedy__fail_instr__gold,greedy__fail_k2__failed,greedy__fail_k2__gold,greedy__fail_k3__failed,greedy__fail_k3__gold,greedy__fail_other__failed,greedy__fail_other__gold,greedy__fail_terse__failed,greedy__fail_terse__gold,greedy__fail_verbose__failed,greedy__fail_verbose__gold,greedy__neut__failed,greedy__neut__gold,greedy__neut_pad__failed,greedy__neut_pad__gold,greedy__pre__distractor0,greedy__pre__distractor1,greedy__pre__failed,greedy__pre__gold,greedy__succ__failed,greedy__succ__gold,ntok__abstract__failed,ntok__abstract__gold,ntok__abstract_min__failed,ntok__abstract_min__gold,ntok__fail__distractor0,ntok__fail__distractor1,ntok__fail__failed,ntok__fail__gold,ntok__fail_early__failed,ntok__fail_early__gold,ntok__fail_echo__failed,ntok__fail_echo__gold,ntok__fail_instr__failed,ntok__fail_instr__gold,ntok__fail_k2__failed,ntok__fail_k2__gold,ntok__fail_k3__failed,ntok__fail_k3__gold,ntok__fail_other__failed,ntok__fail_other__gold,ntok__fail_terse__failed,ntok__fail_terse__gold,ntok__fail_verbose__failed,ntok__fail_verbose__gold,ntok__neut__failed,ntok__neut__gold,ntok__neut_pad__failed,ntok__neut_pad__gold,ntok__pre__distractor0,ntok__pre__distractor1,ntok__pre__failed,ntok__pre__gold,ntok__succ__failed,ntok__succ__gold,ctx__abstract,ctx__abstract_min,ctx__fail,ctx__fail_early,ctx__fail_echo,ctx__fail_instr,ctx__fail_k2,ctx__fail_k3,ctx__fail_other,ctx__fail_terse,ctx__fail_verbose,ctx__neut,ctx__neut_pad,ctx__pre,ctx__succ,G,G_pad,copy,sem,copy_pad,sem_pad,polarity,G_abstract,delta_abstract,repair,repair_abstract,margin_pre,margin_fail,margin_abstract,margin_shift,G_fail_echo,delta_fail_echo,G_fail_terse,delta_fail_terse,G_fail_verbose,delta_fail_verbose,G_fail_instr,delta_fail_instr,G_fail_k2,delta_fail_k2,G_fail_k3,delta_fail_k3,G_fail_early,delta_fail_early,G_fail_other,delta_fail_other,G_abstract_min,delta_abstract_min,copy_succ,sem_succ,G_per_token,copy_per_token,sem_per_token,G_negative,p_repeat_pre,p_repeat_fail,p_repeat_abstract,p_repeat_neut,p_repeat_succ,p_repeat_shift,greedy_repeat_pre,greedy_repeat_fail,greedy_repeat_abstract
llama3.2-1b,toolshed,toolshed-0000-s0-arg_typo-1,-16.0278263092041,-6.588790416717529,,,-12.521305561065674,-27.531822681427002,-8.114800930023193,-4.128025054931641,,,,,,,,,,,,,,,,,-10.932442665100098,-13.479006290435791,,,-15.311451435089111,-34.278865337371826,-17.09085702896118,-8.486408472061157,-8.076666593551636,-5.70727401971817,False,False,,,False,False,False,False,,,,,,,,,,,,,,,,,False,False,,,False,False,False,False,False,False,10.0,9.0,,,9.0,7.0,10.0,9.0,,,,,,,,,,,,,,,,,10.0,9.0,,,9.0,7.0,10.0,9.0,10.0,9.0,597.0,,612.0,,,,,,,,,595.0,,569.0,619.0,-8.976056098937988,-8.976056098937988,6.158414363861084,2.8176417350769043,,,-0.03813433647155762,-1.06303071975708,-7.913025379180908,4.358383417129517,1.897618055343628,8.604448556900024,3.9867758750915527,9.439035892486572,-4.617672681808472,,,,,,,,,,,,,,,,,,,9.014190435409546,-0.03813433647155762,-0.8976056098937988,0.6158414363861084,0.28176417350769045,1.0,0.00018305621442744083,0.018217229813749757,7.955074433574828e-05,0.927342316458986,0.08553664042449771,0.018034173599322315,0.0,0.0,0.0
llama3.2-1b,toolshed,toolshed-0000-s0-hallucinated_entity-2,-29.515132904052734,-5.759650230407715,,,-19.818058490753174,-24.208476543426514,-9.482492446899414,-8.077220916748047,,,,,,,,,,,,,,,,,-7.243722319602966,-9.12800931930542,,,-15.311457633972168,-17.09086036682129,-34.278865814208984,-8.486420154571533,-6.829302787780762,-6.905358076095581,False,False,,,False,False,False,False,,,,,,,,,,,,,,,,,False,False,,,False,False,False,False,False,False,7.0,9.0,,,9.0,10.0,7.0,9.0,,,,,,,,,,,,,,,,,7.0,9.0,,,9.0,10.0,7.0,9.0,7.0,9.0,594.0,,609.0,,,,,,,,,592.0,,569.0,614.0,-24.79637336730957,-24.79637336730957,27.035143494606018,-2.2387701272964478,,,-2.6531896591186523,-4.76373291015625,-20.03264045715332,0.40919923782348633,2.7267699241638184,25.79244565963745,1.4052715301513672,23.75548267364502,-24.387174129486084,,,,,,,,,,,,,,,,,,,27.449563026428223,-2.6531896591186523,-3.5423390524727956,3.8621633563722884,-0.3198243038994925,1.0,6.279602837754596e-12,0.1969796565529789,4.820864887668912e-11,0.868102764524336,0.5190046620702516,0.19697965654669927,0.0,0.0,0.0
llama3.2-1b,toolshed,toolshed-0000-s2-tool_typo-1,-8.209397554397583,-4.667511463165283,,,-10.209632396697998,-16.308446407318115,-10.793509483337402,-3.0701429173350334,,,,,,,,,,,,,,,,,-28.444010734558105,-21.89943504333496,,,-16.576454162597656,-22.22513771057129,-25.131437301635742,-15.308309555053711,-13.278404712677002,-13.220115661621094,False,False,,,False,False,False,False,,,,,,,,,,,,,,,,,False,False,,,False,False,False,False,False,False,26.0,26.0,,,16.0,27.0,26.0,26.0,,,,,,,,,,,,,,,,,26.0,26.0,,,16.0,27.0,26.0,26.0,26.0,26.0,672.0,,702.0,,,,,,,,,689.0,,647.0,687.0,-14.33792781829834,-14.33792781829834,-3.3125734329223633,17.650501251220703,,,2.4848952293395996,-16.92203974723816,2.5841119289398193,12.238166637718678,10.640798091888428,9.823127746582031,7.723366566002369,3.5418860912323,-2.0997611805796623,,,,,,,,,,,,,,,,,,,11.85303258895874,2.4848952293395996,-0.5514587622422439,-0.12740667049701399,0.6788654327392578,1.0,4.225196267846907e-05,0.00044182216080443105,0.02814365444096493,0.0014358294935219729,0.4854318617443717,0.00039957019812596195,0.0,0.0,0.0
llama3.2-1b,toolshed,toolshed-0001-s0-date_format-2,-21.283177375793457,-4.803915023803711,,,-12.277138352394104,-12.924119591712952,-3.646659016609192,-0.184194877743721,,,,,,,,,,,,,,,,,-6.258413553237915,-4.622913837432861,,,-14.994871139526367,-14.784880638122559,-23.251951217651367,-6.253268480300903,-7.257227957248688,-7.530312418937683,False,False,,,False,False,False,True,,,,,,,,,,,,,,,,,False,False,,,False,False,False,False,False,False,12.0,11.0,,,11.0,11.0,12.0,11.0,,,,,,,,,,,,,,,,,12.0,11.0,,,11.0,11.0,12.0,11.0,12.0,11.0,593.0,,615.0,,,,,,,,,594.0,,566.0,642.0,-19.605292201042175,-19.605292201042175,16.993537664413452,2.611754536628723,,,3.610568940639496,-1.9687738418579102,-17.636518359184265,6.069073602557182,1.4493534564971924,16.998682737350464,3.462464138865471,16.479262351989746,-13.536218598484993,,,,,,,,,,,,,,,,,,,15.99472326040268,3.610568940639496,-1.633774350086848,1.416128138701121,0.21764621138572693,1.0,4.1439154193873335e-08,0.030399066734533547,6.968627724708882e-08,0.16307834754498587,0.5678499785400836,0.030399025295379353,0.0,0.0,0.0
llama3.2-1b,toolshed,toolshed-0001-s0-tool_typo-0,-10.045904636383057,-4.891725540161133,,,-11.971052668988705,-19.566687129437923,-8.358262561261654,-0.11781534925103188,,,,,,,,,,,,,,,,,-10.59945559501648,-3.819151997566223,,,-14.784879207611084,-23.251949787139893,-14.994879245758057,-6.25327205657959,-8.230102777481079,-3.464659571647644,False,False,,,False,False,False,True,,,,,,,,,,,,,,,,,False,False,,,False,False,False,False,False,False,11.0,11.0,,,11.0,12.0,11.0,11.0,,,,,,,,,,,,,,,,,11.0,11.0,,,11.0,12.0,11.0,11.0,11.0,11.0,591.0,,606.0,,,,,,,,,593.0,,566.0,591.0,-6.636616684496403,-6.636616684496403,4.395423650741577,2.2411930337548256,,,-0.1281597837805748,-4.948974609375,-1.6876420751214027,6.135456707328558,1.361546516418457,8.741607189178467,8.240447212010622,5.154179096221924,-0.5011599771678448,,,,,,,,,,,,,,,,,,,6.7647764682769775,-0.1281597837805748,-0.603328789499673,0.3995839682492343,0.2037448212504387,1.0,0.00015973983431788257,0.0002636948325730804,0.005742057389736425,0.0011346411076672497,0.008447149475763017,0.00010395499825519781,0.0,0.0,0.0
llama3.2-1b,toolshed,toolshed-0002-s0-hallucinated_entity-2,-25.639293670654297,-7.756058692932129,,,-18.65158724784851,-24.081870794296265,-8.061567068099976,-8.388927698135376,,,,,,,,,,,,,,,,,-8.442873239517212,-8.384076833724976,,,-17.200218200683594,-15.168835639953613,-30.809803009033203,-8.377067565917969,-9.762521982192993,-9.23201596736908,False,False,,,False,False,False,False,,,,,,,,,,,,,,,,,False,False,,,False,False,False,False,False,False,7.0,8.0,,,8.0,9.0,7.0,8.0,,,,,,,,,,,,,,,,,7.0,8.0,,,8.0,9.0,7.0,8.0,7.0,8.0,606.0,,621.0,,,,,,,,,604.0,,581.0,626.0,-22.748235940933228,-22.748235940933228,22.36692976951599,0.38130617141723633,,,1.7009549140930176,-5.170509338378906,-17.57772660255432,-0.011860132217407227,0.6210088729858398,22.432735443115234,-0.3273606300354004,17.883234977722168,-22.760096073150635,,,,,,,,,,,,,,,,,,,21.04728102684021,1.7009549140930176,-3.2497479915618896,3.195275681359427,0.054472310202462335,1.0,1.8073217036238605e-10,0.5811085036656809,1.7116293431574864e-08,0.48530513167592376,0.3703988758432836,0.5811085034849487,0.0,0.0,0.0
llama3.2-1b,toolshed,toolshed-0002-s1-arg_typo-2,-12.285235941410065,-1.6341643929481506,,,-8.823012828826904,-13.529339790344238,-6.213993072509766,-2.7019914388656616,,,,,,,,,,,,,,,,,-7.925446100533009,-12.927381038665771,,,-6.85520339012146,-12.062000513076782,-10.835007905960083,-1.0107819736003876,-7.724781200289726,-10.505460739135742,False,True,,,False,False,False,False,,,,,,,,,,,,,,,,,False,False,,,False,False,False,True,False,False,34.0,34.0,,,23.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,34.0,34.0,,,23.0,34.0,34.0,34.0,34.0,34.0,657.0,,695.0,,,,,,,,,679.0,,629.0,680.0,-4.621014833450317,-4.621014833450317,2.9095618054270744,1.711453028023243,,,1.5107881277799606,1.4502280354499817,-6.071242868900299,-1.691209465265274,-0.6233824193477631,9.824225932359695,3.512001633644104,10.651071548461914,-6.312224298715591,,,,,,,,,,,,,,,,,,,3.1102267056703568,1.5107881277799606,-0.13591220098383286,0.08557534721844337,0.050336853765389496,1.0,5.396431601119882e-05,0.028910459110011083,2.367489808530757e-05,0.9933200003832519,0.9416228094401266,0.028856494793999883,0.0,0.0,0.0
llama3.2-1b,toolshed,toolshed-0002-s1-type_swap-3,-6.222533851861954,-1.5398347675800323,,,-7.716403007507324,-16.06375551223755,-4.509867906570435,-3.410839021205902,,,,,,,,,,,,,,,,,-8.11585859209299,-13.569659233093262,,,-6.855195045471191,-12.062007188796997,-6.386237621307373,-1.0107826888561249,-7.835074990987778,-10.353103637695312,False,True,,,False,False,False,False,,,,,,,,,,,,,,,,,False,False,,,False,False,False,True,False,False,34.0,34.0,,,23.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,34.0,34.0,,,23.0,34.0,34.0,34.0,34.0,34.0,657.0,,696.0,,,,,,,,,679.0,,629.0,680.0,-1.8763697147369385,-1.8763697147369385,-1.7296209707856178,3.6059906855225563,,,3.325207084417343,-0.1637037694454193,-1.7126659452915192,-2.400056332349777,-0.5290520787239075,5.375454932451248,1.0990288853645325,4.682699084281921,-4.276426047086716,,,,,,,,,,,,,,,,,,,-1.4488373696804047,3.325207084417343,-0.055187344551086426,-0.05087120502310641,0.10605854957419283,1.0,0.004594169131803362,0.24741719112759533,0.009169151461769512,0.9957382334211529,0.9253960702653216,0.24282302199579198,0.0,0.0,0.0
llama3.2-1b,toolshed,toolshed-0004-s0-tool_typo-0,-7.3760881423950195,-3.2641947269439697,,,-10.992964744567871,-20.677291870117188,-2.8867722749710083,-2.408018410205841,,,,,,,,,,,,,,,,,-6.876695141196251,-5.819021940231323,,,-15.720914244651794,-19.761308073997498,-15.46971082687378,-5.401430249214172,-6.596128672361374,-4.482060194015503,False,False,,,False,False,False,False,,,,,,,,,,,,,,,,,False,False,,,False,False,False,False,False,False,8.0,8.0,,,9.0,10.0,8.0,8.0,,,,,,,,,,,,,,,,,8.0,8.0,,,9.0,10.0,8.0,8.0,8.0,8.0,599.0,,611.0,,,,,,,,,598.0,,574.0,596.0,-12.582938551902771,-12.582938551902771,8.593015685677528,3.9899228662252426,,,3.7093563973903656,-8.09362268447876,-4.489315867424011,2.9934118390083313,2.1372355222702026,10.068280577659607,0.47875386476516724,4.11189341545105,-9.58952671289444,,,,,,,,,,,,,,,,,,,8.873582154512405,3.7093563973903656,-1.5728673189878464,1.074126960709691,0.4987403582781553,1.0,4.240023969431293e-05,0.3825022811795349,0.016112861093620964,0.25775436004976543,0.10773694056998219,0.38245988093984057,0.0,0.0,0.0
llama3.2-1b,toolshed,toolshed-0005-s0-tool_typo-1,-9.67649781703949,-3.1991993188858032,,,-12.790910005569458,-13.59450650215149,-6.68672776222229,-1.7752168513834476,,,,,,,,,,,,,,,,,-7.9669345915317535,-9.617720365524292,,,-13.715830087661743,-11.197989702224731,-13.428319215774536,-2.772987127304077,-7.005533754825592,-8.601975202560425,False,False,,,False,False,False,False,,,,,,,,,,,,,,,,,False,False,,,False,False,False,False,False,False,16.0,16.0,,,11.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,16.0,16.0,,,11.0,16.0,16.0,16.0,16.0,16.0,592.0,,612.0,,,,,,,,,599.0,,567.0,597.0,-6.741591453552246,-6.741591453552246,5.461384624242783,1.2802068293094635,,,0.318805992603302,-3.7518213987350464,-2.9897700548171997,0.9977702759206295,-0.4262121915817261,10.655332088470459,4.911510910838842,6.4772984981536865,-5.743821177631617,,,,,,,,,,,,,,,,,,,6.422785460948944,0.318805992603302,-0.4213494658470154,0.3413365390151739,0.08001292683184147,1.0,2.3568661563495458e-05,0.007307391312807732,0.001535598185320096,0.8389972217446197,0.8315204405771486,0.007283822651244236,0.0,0.0,0.0
