model,env,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params,p_holm,published
llama3.2-1b,toolshed,G,-12.411974890583329,-15.707332268086152,-9.62439945815422,35,21,-1.4343715297166046,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,0.0009000000000000001,True
llama3.2-1b,toolshed,G_abstract,-5.458639002733809,-7.486653320372782,-3.6492469371367697,34,20,-1.0534701292117319,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,G_negative,1.0,1.0,1.0,35,21,,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,G_per_token,-0.9248586144212075,-1.2146612118643838,-0.6588029493295768,35,21,-1.012226193032439,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,copy,9.415748466518433,7.227028407570528,11.907142479022742,34,20,1.1347995863379365,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,copy_per_token,0.7768197248714364,0.5423161822016945,1.0271599184658213,34,20,0.8320161629668179,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,copy_succ,12.50765214142773,9.388935235256765,15.928638299789997,34,20,1.4295111711081343,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,delta_abstract,-7.217185675221331,-9.640730892801658,-5.271473403949537,34,20,-0.9926769970433401,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,greedy_repeat_abstract,0.0,0.0,0.0,34,20,,1.0,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,greedy_repeat_fail,0.0,0.0,0.0,35,21,,1.0,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,greedy_repeat_pre,0.0,0.0,0.0,35,21,,1.0,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,margin_shift,-9.597230391083833,-12.306354248115927,-7.364466801904811,34,20,-1.0771165477090627,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,p_repeat_fail,0.24568543658816658,0.13600021902232914,0.36348689796143047,35,21,0.6687037466363541,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,p_repeat_pre,0.00868306025696504,0.00040648262749182635,0.02495445661898006,35,21,0.2133042045439673,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,p_repeat_shift,0.23700237633120155,0.13058981449973595,0.34810066202504486,35,21,0.66713837418205,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,polarity,0.16817253652740927,-1.0744472957216205,1.3020668763527643,34,20,0.051526932010158816,0.7792,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,repair,3.078594286871307,1.2046625058704643,4.956131195310701,34,20,0.5397697871793349,0.0004,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,sem,3.2600762114367066,2.055925572193651,4.61547243874794,34,20,0.6910791070991683,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,sem_per_token,0.17226389886670845,0.1097138774268823,0.24837500070542448,34,20,0.6828727078236455,0.0001,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
llama3.2-1b,toolshed,sem_succ,0.16817253652740927,-1.0744472957216205,1.3020668763527643,34,20,0.051526932010158816,0.7792,Llama-3.2,Llama-3.2-1B,1.236,9.092018470752796,,True
qwen2.5-0.5b,coderepair,G,-67.68287275681892,-76.71106875870687,-59.15124202279374,60,60,-1.939251404761342,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,0.0009000000000000001,True
qwen2.5-0.5b,coderepair,G_abstract,-0.5052158492306869,-0.949297381931295,-0.08195012446182486,60,60,-0.2910919708571994,0.0198,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,G_negative,1.0,1.0,1.0,60,60,,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,G_per_token,-1.213937127520632,-1.3603620301577484,-1.0753737715983516,60,60,-2.1353725298328117,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,copy,69.49829634403189,61.00898406580401,78.50083715946103,60,60,1.9923297818239463,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,copy_per_token,1.2423462796648248,1.1072653734479934,1.383895316089053,60,60,2.238872841327905,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,copy_succ,64.73459694708387,56.19474417786735,73.70311764388344,60,60,1.8540017042055523,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,delta_abstract,-67.17765690758824,-76.26297486524409,-58.63170207698519,60,60,-1.9182435247417342,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,greedy_repeat_abstract,0.0,0.0,0.0,60,60,,1.0,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,greedy_repeat_fail,0.016666666666666666,0.0,0.05,60,60,0.12909944487358055,0.5232,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,greedy_repeat_pre,0.0,0.0,0.0,60,60,,1.0,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,margin_shift,-18.78282634889086,-21.262681982511033,-16.508568064601473,60,60,-2.010409091443598,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,p_repeat_fail,0.8331599556425592,0.7658597845311812,0.8930063608063884,60,60,3.2409806499070717,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,p_repeat_pre,0.07480407812397168,0.023093776375055962,0.1377196500348716,60,60,0.32735836652815054,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,p_repeat_shift,0.7583558775185875,0.6799165589274794,0.8305929667794325,60,60,2.4870494792968096,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,polarity,2.9482758097350596,2.2321693682546417,3.619974353164434,60,60,1.0632870971380466,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,repair,48.900046407928066,40.67574977935602,57.67835008851252,60,60,1.4486620636627061,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,sem,-1.8154235872129598,-2.4816045244038105,-1.1896390851649146,60,60,-0.7042765661254032,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,sem_per_token,-0.028409152144192748,-0.04461391840242566,-0.01069920351380457,60,60,-0.4153517534706838,0.0006,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,coderepair,sem_succ,2.9482758097350596,2.2321693682546417,3.619974353164434,60,60,1.0632870971380466,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G,-13.910314309559762,-16.12477358001282,-11.816050378376154,100,48,-1.1181085553544983,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,0.0009000000000000001,True
qwen2.5-0.5b,toolshed,G_abstract,-2.8597479756549,-3.7110636935900616,-1.9926999700437045,100,48,-0.6572024232001143,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_early,-13.088035694696009,-15.09662605779721,-11.181176199320609,100,48,-1.1660781244256133,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_echo,-14.012902159579099,-16.40168324392842,-11.771009359303573,100,48,-1.107083422842675,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_instr,-13.891340291537345,-16.171056152974792,-11.733954903759509,100,48,-1.1010938186356267,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_k2,-17.516378812892363,-19.653495696005155,-15.517877027526266,100,48,-1.49700404561865,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_k3,-18.690855393591338,-20.773219003808247,-16.74619079448337,100,48,-1.6698210035221197,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_other,-2.2036472454294564,-3.2279459388181717,-1.1977787771721486,100,48,-0.43988209099726017,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_terse,-13.67945882115513,-16.00441454465209,-11.549977789934482,100,48,-1.0823226323855146,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_fail_verbose,-13.59959497410804,-15.88313813034911,-11.498248508537065,100,48,-1.1071648452044178,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_negative,0.9,0.8404255319148937,0.9514563106796117,100,48,2.98496231131986,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,G_per_token,-0.9421988870096745,-1.1404747939420858,-0.7523857567517147,100,48,-0.9239007542938507,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,copy,9.908414889313281,7.5858592692260896,12.247293479860916,100,48,0.7929354874061099,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,copy_pad,9.78838250953704,7.627119109887025,11.932383222254181,100,48,0.8506732877025299,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,copy_per_token,0.700175123206264,0.5061090843557379,0.9031931903844881,100,48,0.6915368087306237,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,copy_succ,11.008200327120722,8.767381097461888,13.372816636813093,100,48,0.8475363422189904,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_abstract,-11.050566333904863,-12.79874083295748,-9.385770233401779,100,48,-1.1141354156428322,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_abstract_min,-13.01489466227591,-15.042537089474797,-11.099140205339214,100,48,-1.153245564795544,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_early,-0.8222786148637533,-1.3607490252872758,-0.2645843662438117,100,48,-0.27543774921853936,0.0032,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_echo,0.10258785001933575,-0.22012565255397146,0.4373526725434779,100,48,0.06720656651263772,0.535,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_instr,-0.01897401802241802,-0.20053786285551023,0.15135726866261343,100,48,-0.023937508380158554,0.803,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_k2,3.6060645033326,3.124602560153002,4.082028800900297,100,48,1.658600028981016,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_k3,4.780541084031574,4.180252507473829,5.37116339315989,100,48,1.678271176326224,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_other,-11.706667064130306,-13.284689927094673,-10.17950844491882,100,48,-1.235583191078801,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
qwen2.5-0.5b,toolshed,delta_fail_terse,-0.2308554884046316,-0.6403900972214926,0.1976134488703686,100,48,-0.10192299342677393,0.2698,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647,,True
